task_id,trait,item_a,item_b,item_c,item_d,most_target_like,least_target_like
politeness-bws-090,politeness,I’m committed to correcting this and will have the meeting minutes in your inbox shortly.,The requested feature cannot be implemented at this time because it isn’t on our roadmap.,I truly apologise for the deadline slip; I acknowledge the team’s dedication and will make catching up my top priority to reduce any disturbance.,With sincere sympathy I must tell you the biopsy reveals cancer; know that I’ll stand by you and answer any concerns.,,
politeness-bws-091,politeness,Granting a two‑day extension would allow me to produce a higher‑quality term paper and better reflect the effort I’ve invested.,"Balancing our goals with the present budget reality, I think the proposed increase to marketing spend is not advisable now.","We value your request and suggest exploring alternative financing options, as the current loan does not meet our credit criteria.","Sorry, I won’t be able to join the weekend hike – something else came up.",,
politeness-bws-092,politeness,"Thank you for seeking a review of your final grade; after thorough consideration, the decision is to uphold the original grade.",Refill my hypertension medication by tomorrow per the prescription and have it ready for pickup.,"By tomorrow, I require the hypertension medication refill, as indicated on my prescription, ready for pickup.","My current tasks take priority, so I won’t be at the coffee‑break meeting.",,
politeness-bws-093,politeness,"Unfortunately I'm unable to join the weekend strategy workshop, and I thank you for the invitation.",I apologize for the assignment’s two‑day lateness and regret any inconvenience caused.,"While earlier drafts were concise, the final slides turned into text‑heavy pages that now obstruct smooth following.","Unfortunately I have to decline the coffee‑break meeting, hope it goes well.",,
politeness-bws-094,politeness,"Based on the attached prescription, please refill my hypertension medication by tomorrow and have it ready for pickup; I am deeply grateful for your help.",I’d be grateful if you could take a look at the code patch and let me know of issues you find.,"Your consideration is valued, yet I offer a valued consideration that the removal of flexible working hours for the team is not advisable.","Thanks in advance! When you get a chance, please look over the code patch and point out anything that seems off.",,
politeness-bws-095,politeness,Your biopsy has revealed cancer; it’s essential you recognize how serious this is and move forward with treatment right away.,"If it’s not too much trouble, please refill my hypertension medication by tomorrow per the prescription and arrange for pickup.","Your kind invitation means a lot; unfortunately I have to miss the Friday dinner, my apologies.",Your feedback would be much appreciated; please review the code patch and inform me of any problems you notice.,,
politeness-bws-096,politeness,The homepage design shows strong potential; refining the visual hierarchy would help steer visitors more effectively.,"I suggest we consider revising the quoted statistic in the article, as it appears to be inaccurate.",I’ve reflected on the recommendation and think medication X might not be appropriate for me.,"Despite the deadline pressures, the inefficient loops in the recent commit pose a serious threat to performance.",,
politeness-bws-097,politeness,A critical evaluation reveals that the chi‑square test is unreliable for this continuous data set because its assumptions are violated.,"Your request to modify the final grade has been examined and, according to policy, will not be approved.",Could you kindly email the latest Q2 market analysis report by Friday so we have it for the meeting?,"I would greatly appreciate it if you could refill my hypertension medication by tomorrow as indicated on my prescription, and thank you in advance for preparing it for pickup.",,
politeness-bws-098,politeness,"Analyzing the figures, it appears this sorting algorithm may not be the top performer for large-scale data processing.","Apologies, I must decline the weekend strategy workshop, though I truly appreciate your consideration.","In the recent commit, there are loops that operate inefficiently and could lower performance across the board.",I won’t be able to join the kickoff meeting on Monday because I have another commitment that day.,,
politeness-bws-099,politeness,"I would deeply appreciate a two‑day extension for the term paper, as it would substantially relieve the pressure I’m currently under.","We sincerely appreciate your request, yet we are compelled to refuse the loan because your credit score falls short of the threshold.",Thank you wholeheartedly for the offer; regrettably I cannot attend the weekend strategy workshop at this time.,"Missing the assignment deadline, I regret it and recognize the trouble it creates.",,
